cust_id,region,signup_date
C0999,NA,27.09.2023
C1000,EU,28.09.2023
C1001,NA,29.09.2023
C1002,APAC,30.09.2023
C1003,NA,01.10.2023
C1004,APAC,02.10.2023
C1005,NA,03.10.2023
C1006,NA,04.10.2023
C1007,APAC,05.10.2023
C1008,EU,06.10.2023
C1009,NA,07.10.2023
C1010,EU,08.10.2023
C1011,APAC,09.10.2023
C1012,APAC,10.10.2023
C1013,EU,11.10.2023
C1014,NA,12.10.2023
C1015,APAC,13.10.2023
C1016,EU,14.10.2023
C1017,NA,15.10.2023
C1018,APAC,
C1019,EU,17.10.2023
C1020,NA,18.10.2023
C1021,EU,19.10.2023
C1022,APAC,20.10.2023
C1023,APAC,21.10.2023
C1024,APAC,22.10.2023
C1025,NA,23.10.2023
C1026,APAC,24.10.2023
C1027,APAC,25.10.2023
C1028,EU,26.10.2023
C1029,APAC,27.10.2023
C1030,EU,28.10.2023
C1031,NA,29.10.2023
C1032,EU,30.10.2023
C1033,EU,31.10.2023
C1034,EU,01.11.2023
C1035,NA,02.11.2023
C1036,EU,
C1037,NA,04.11.2023
C1038,EU,05.11.2023
C1039,EU,06.11.2023
C1040,NA,07.11.2023
C1041,APAC,08.11.2023
C1042,EU,09.11.2023
C1043,NA,10.11.2023
C1044,APAC,11.11.2023
C1045,NA,12.11.2023
C1046,EU,13.11.2023
C1047,EU,14.11.2023
C1048,APAC,15.11.2023
C1049,EU,16.11.2023
C1050,APAC,17.11.2023
C1051,NA,18.11.2023
C1052,APAC,19.11.2023
C1053,APAC,20.11.2023
C1054,APAC,21.11.2023
C1055,EU,22.11.2023
C1056,APAC,23.11.2023
C1057,NA,24.11.2023
C1058,NA,25.11.2023
C1059,NA,26.11.2023
C1060,APAC,27.11.2023
C1061,APAC,28.11.2023
C1062,APAC,29.11.2023
C1063,NA,30.11.2023
C1064,NA,01.12.2023
C1065,NA,02.12.2023
C1066,EU,03.12.2023
C1067,EU,04.12.2023
C1068,EU,05.12.2023
C1069,EU,06.12.2023
C1070,EU,07.12.2023
C1071,EU,08.12.2023
C1072,EU,09.12.2023
C1073,EU,10.12.2023
C1074,APAC,11.12.2023
C1075,NA,12.12.2023
C1076,EU,13.12.2023
C1077,NA,
C1078,EU,15.12.2023
C1079,APAC,16.12.2023
C1080,APAC,17.12.2023
C1081,EU,18.12.2023
C1082,NA,19.12.2023
C1083,APAC,20.12.2023
C1084,APAC,21.12.2023
C1085,NA,22.12.2023
C1086,NA,23.12.2023
C1087,EU,24.12.2023
C1088,APAC,25.12.2023
C1089,EU,26.12.2023
C1090,APAC,27.12.2023
C1091,NA,28.12.2023
C1092,NA,29.12.2023
C1093,NA,30.12.2023
C1094,EU,31.12.2023
C1095,EU,01.01.2024
C1096,EU,02.01.2024
C1097,EU,03.01.2024
C1098,APAC,04.01.2024
C1099,EU,05.01.2024
C1100,EU,06.01.2024
C1101,APAC,
C1102,APAC,08.01.2024
C1103,APAC,09.01.2024
C1104,APAC,10.01.2024
C1105,EU,11.01.2024
C1106,EU,12.01.2024
C1107,APAC,13.01.2024
C1108,NA,14.01.2024
C1109,EU,15.01.2024
C1110,APAC,16.01.2024
C1111,EU,17.01.2024
C1112,EU,18.01.2024
C1113,NA,19.01.2024
C1114,NA,20.01.2024
C1115,NA,21.01.2024
C1116,EU,22.01.2024
C1117,APAC,23.01.2024
C1118,EU,24.01.2024
C1119,EU,25.01.2024
C1120,APAC,26.01.2024
C1121,APAC,27.01.2024
C1122,APAC,28.01.2024
C1123,APAC,29.01.2024
C1124,NA,30.01.2024
C1125,NA,31.01.2024
C1126,EU,01.02.2024
C1127,NA,02.02.2024
C1128,EU,03.02.2024
C1129,EU,04.02.2024
C1130,NA,05.02.2024
C1131,NA,06.02.2024
C1132,EU,07.02.2024
C1133,EU,08.02.2024
C1134,NA,09.02.2024
C1135,EU,10.02.2024
C1136,APAC,11.02.2024
C1137,NA,12.02.2024
C1138,NA,
C1139,NA,14.02.2024
C1140,APAC,15.02.2024
C1141,EU,16.02.2024
C1142,NA,17.02.2024
C1143,NA,18.02.2024
C1144,EU,19.02.2024
C1145,APAC,20.02.2024
C1146,APAC,21.02.2024
C1147,NA,22.02.2024
C1148,APAC,23.02.2024
C1149,APAC,24.02.2024
C1150,NA,25.02.2024
C1151,APAC,26.02.2024
C1152,NA,27.02.2024
C1153,NA,28.02.2024
C1154,NA,29.02.2024
C1155,APAC,01.03.2024
C1156,EU,02.03.2024
C1157,APAC,03.03.2024
C1158,APAC,04.03.2024
C1159,EU,05.03.2024
C1160,APAC,06.03.2024
C1161,EU,07.03.2024
C1162,EU,08.03.2024
C1163,NA,09.03.2024
C1164,EU,10.03.2024
C1165,APAC,11.03.2024
C1166,APAC,12.03.2024
C1167,NA,13.03.2024
C1168,EU,14.03.2024
C1169,EU,15.03.2024
C1170,NA,16.03.2024
C1171,APAC,17.03.2024
C1172,NA,18.03.2024
C1173,EU,19.03.2024
C1174,NA,20.03.2024
C1175,NA,21.03.2024
C1176,APAC,22.03.2024
C1177,EU,23.03.2024
C1178,APAC,24.03.2024
C1179,NA,
C1180,APAC,26.03.2024
C1181,EU,27.03.2024
C1182,NA,28.03.2024
C1183,APAC,
C1184,EU,30.03.2024
C1185,APAC,31.03.2024
C1186,NA,01.04.2024
C1187,EU,02.04.2024
C1188,EU,03.04.2024
C1189,NA,04.04.2024
C1190,EU,05.04.2024
C1191,NA,06.04.2024
C1192,EU,07.04.2024
C1193,NA,08.04.2024
C1194,EU,09.04.2024
C1195,APAC,10.04.2024
C1196,APAC,11.04.2024
C1197,APAC,12.04.2024
C1198,NA,13.04.2024
C1199,EU,14.04.2024
C1200,APAC,15.04.2024
C1201,EU,16.04.2024
C1202,EU,17.04.2024
C1203,EU,18.04.2024
C1204,NA,19.04.2024
C1205,APAC,20.04.2024
C1206,NA,21.04.2024
C1207,NA,22.04.2024
C1208,EU,23.04.2024
C1209,APAC,24.04.2024
C1210,NA,25.04.2024
C1211,NA,26.04.2024
C1212,EU,27.04.2024
C1213,APAC,28.04.2024
C1214,NA,29.04.2024
C1215,EU,30.04.2024
C1216,EU,01.05.2024
C1217,NA,02.05.2024
C1218,NA,03.05.2024
C1219,EU,04.05.2024
C1220,APAC,05.05.2024
C1221,EU,06.05.2024
C1222,NA,07.05.2024
C1223,APAC,08.05.2024
C1224,NA,09.05.2024
C1225,NA,10.05.2024
C1226,EU,11.05.2024
C1227,EU,12.05.2024
C1228,APAC,13.05.2024
C1229,NA,14.05.2024
C1230,APAC,15.05.2024
C1231,EU,16.05.2024
C1232,EU,17.05.2024
C1233,EU,18.05.2024
C1234,NA,19.05.2024
C1235,EU,20.05.2024
C1236,APAC,21.05.2024
C1237,NA,22.05.2024
C1238,APAC,23.05.2024
C1239,EU,
C1240,APAC,25.05.2024
C1241,APAC,26.05.2024
C1242,APAC,27.05.2024
C1243,APAC,28.05.2024
C1244,APAC,29.05.2024
C1245,NA,
C1246,EU,31.05.2024
C1247,EU,01.06.2024
C1248,APAC,02.06.2024
C1249,NA,03.06.2024
C1250,APAC,04.06.2024
C1251,NA,05.06.2024
C1252,EU,06.06.2024
C1253,EU,07.06.2024
C1254,NA,08.06.2024
C1255,NA,09.06.2024
C1256,EU,10.06.2024
C1257,NA,11.06.2024
C1258,EU,12.06.2024
C1259,NA,13.06.2024
C1260,EU,14.06.2024
C1261,APAC,15.06.2024
C1262,EU,16.06.2024
C1263,NA,17.06.2024
C1264,EU,18.06.2024
C1265,EU,19.06.2024
C1266,EU,20.06.2024
C1267,NA,21.06.2024
C1268,NA,22.06.2024
C1269,EU,23.06.2024
C1270,NA,24.06.2024
C1271,APAC,25.06.2024
C1272,APAC,26.06.2024
C1273,EU,
C1274,NA,28.06.2024
C1275,EU,29.06.2024
C1276,EU,30.06.2024
C1277,APAC,01.07.2024
C1278,EU,02.07.2024
C1279,NA,
C1280,NA,04.07.2024
C1281,NA,05.07.2024
C1282,NA,06.07.2024
C1283,EU,07.07.2024
C1284,EU,
C1285,NA,09.07.2024
C1286,EU,10.07.2024
C1287,EU,11.07.2024
C1288,EU,12.07.2024
C1289,EU,13.07.2024
C1290,EU,14.07.2024
C1291,EU,15.07.2024
C1292,NA,16.07.2024
C1293,NA,17.07.2024
C1294,APAC,18.07.2024
C1295,EU,19.07.2024
C1296,EU,20.07.2024
C1297,EU,21.07.2024
C1298,NA,22.07.2024
C1299,NA,23.07.2024
C1300,EU,24.07.2024
C1301,APAC,25.07.2024
C1302,EU,26.07.2024
C1303,NA,27.07.2024
C1304,NA,28.07.2024
C1305,APAC,29.07.2024
C1306,NA,30.07.2024
C1307,APAC,31.07.2024
C1308,EU,01.08.2024
C1309,APAC,02.08.2024
C1310,EU,03.08.2024
C1311,APAC,04.08.2024
C1312,NA,05.08.2024
C1313,APAC,06.08.2024
C1314,NA,07.08.2024
C1315,NA,08.08.2024
C1316,NA,09.08.2024
C1317,NA,10.08.2024
C1318,EU,11.08.2024
C1319,EU,12.08.2024
C1320,EU,13.08.2024
C1321,EU,14.08.2024
C1322,APAC,15.08.2024
C1323,EU,16.08.2024
C1324,APAC,17.08.2024
C1325,EU,18.08.2024
C1326,EU,19.08.2024
C1327,APAC,20.08.2024
C1328,NA,21.08.2024
C1329,NA,22.08.2024
C1330,NA,23.08.2024
C1331,NA,24.08.2024
C1332,EU,
C1333,APAC,26.08.2024
C1334,APAC,27.08.2024
C1335,NA,28.08.2024
C1336,EU,29.08.2024
C1337,NA,30.08.2024
C1338,EU,31.08.2024
C1339,EU,01.09.2024
C1340,EU,02.09.2024
C1341,NA,03.09.2024
C1342,APAC,04.09.2024
C1343,NA,05.09.2024
C1344,NA,06.09.2024
C1345,NA,07.09.2024
C1346,EU,08.09.2024
C1347,EU,09.09.2024
C1348,APAC,10.09.2024
C1349,EU,11.09.2024
C1350,APAC,12.09.2024
C1351,NA,13.09.2024
C1352,NA,14.09.2024
C1353,NA,15.09.2024
C1354,NA,16.09.2024
C1355,APAC,17.09.2024
C1356,APAC,18.09.2024
C1357,NA,19.09.2024
C1358,EU,20.09.2024
C1359,NA,21.09.2024
C1360,APAC,22.09.2024
C1361,EU,23.09.2024
C1362,NA,24.09.2024
C1363,NA,25.09.2024
C1364,NA,26.09.2024
C1365,EU,27.09.2024
C1366,NA,28.09.2024
C1367,APAC,29.09.2024
C1368,EU,30.09.2024
C1369,EU,01.10.2024
C1370,APAC,02.10.2024
C1371,EU,
C1372,APAC,04.10.2024
C1373,NA,05.10.2024
C1374,EU,06.10.2024
C1375,APAC,07.10.2024
C1376,NA,08.10.2024
C1377,NA,09.10.2024
C1378,EU,10.10.2024
C1379,NA,11.10.2024
C1380,EU,12.10.2024
C1381,EU,13.10.2024
C1382,APAC,14.10.2024
C1383,EU,15.10.2024
C1384,NA,16.10.2024
C1385,EU,17.10.2024
C1386,APAC,18.10.2024
C1387,EU,19.10.2024
C1388,APAC,20.10.2024
C1389,NA,21.10.2024
C1390,EU,22.10.2024
C1391,EU,23.10.2024
C1392,EU,24.10.2024
C1393,NA,25.10.2024
C1394,EU,26.10.2024
C1395,APAC,27.10.2024
C1396,NA,28.10.2024
C1397,EU,29.10.2024
C1398,NA,30.10.2024
C1399,NA,31.10.2024
C1400,EU,01.11.2024
C1401,EU,02.11.2024
C1402,EU,03.11.2024
C1403,NA,04.11.2024
C1404,NA,05.11.2024
C1405,NA,06.11.2024
C1406,APAC,07.11.2024
C1407,APAC,08.11.2024
C1408,NA,09.11.2024
C1409,APAC,10.11.2024
C1410,EU,11.11.2024
C1411,EU,12.11.2024
C1412,EU,13.11.2024
C1413,EU,14.11.2024
C1414,NA,15.11.2024
C1415,APAC,
C1416,EU,17.11.2024
C1417,EU,18.11.2024
C1418,NA,19.11.2024
C1419,APAC,20.11.2024
C1420,EU,21.11.2024
C1421,NA,22.11.2024
C1422,EU,23.11.2024
C1423,EU,24.11.2024
C1424,APAC,25.11.2024
C1425,APAC,26.11.2024
C1426,EU,27.11.2024
C1427,APAC,28.11.2024
C1428,NA,29.11.2024
C1429,APAC,30.11.2024
C1430,NA,01.12.2024
C1431,NA,02.12.2024
C1432,NA,03.12.2024
C1433,NA,04.12.2024
C1434,EU,05.12.2024
C1435,EU,06.12.2024
C1436,EU,07.12.2024
C1437,NA,08.12.2024
C1438,EU,09.12.2024
C1439,NA,10.12.2024
C1440,APAC,11.12.2024
C1441,EU,12.12.2024
C1442,NA,13.12.2024
C1443,NA,14.12.2024
C1444,APAC,15.12.2024
C1445,EU,16.12.2024
C1446,NA,
C1447,APAC,18.12.2024
C1448,APAC,19.12.2024
C1449,NA,20.12.2024
C1450,NA,21.12.2024
C1451,NA,22.12.2024
C1452,APAC,23.12.2024
C1453,NA,24.12.2024
C1454,EU,25.12.2024
C1455,APAC,26.12.2024
C1456,NA,27.12.2024
C1457,NA,28.12.2024
C1458,EU,29.12.2024
C1459,NA,30.12.2024
C1460,EU,31.12.2024
C1461,NA,01.01.2025
C1462,EU,02.01.2025
C1463,NA,03.01.2025
C1464,APAC,04.01.2025
C1465,EU,05.01.2025
C1466,APAC,06.01.2025
C1467,NA,07.01.2025
C1468,APAC,08.01.2025
C1469,APAC,09.01.2025
C1470,NA,10.01.2025
C1471,NA,11.01.2025
C1472,APAC,12.01.2025
C1473,NA,13.01.2025
C1474,EU,14.01.2025
C1475,NA,15.01.2025
C1476,APAC,16.01.2025
C1477,APAC,17.01.2025
C1478,APAC,18.01.2025
C1479,NA,19.01.2025
C1480,APAC,20.01.2025
C1481,EU,21.01.2025
C1482,NA,22.01.2025
C1483,EU,23.01.2025
C1484,EU,24.01.2025
C1485,EU,25.01.2025
C1486,EU,26.01.2025
C1487,NA,27.01.2025
C1488,EU,28.01.2025
C1489,NA,29.01.2025
C1490,EU,30.01.2025
C1491,EU,31.01.2025
C1492,EU,01.02.2025
C1493,EU,02.02.2025
C1494,NA,03.02.2025
C1495,NA,04.02.2025
C1496,NA,05.02.2025
C1497,NA,06.02.2025
C1498,EU,07.02.2025
C1499,APAC,08.02.2025
C1500,NA,09.02.2025
C1501,NA,10.02.2025
C1502,EU,11.02.2025
C1503,EU,12.02.2025
C1504,EU,13.02.2025
C1505,EU,14.02.2025
C1506,NA,15.02.2025
C1507,NA,16.02.2025
C1508,NA,17.02.2025
C1509,APAC,18.02.2025
C1510,APAC,19.02.2025
C1511,NA,20.02.2025
C1512,APAC,21.02.2025
C1513,EU,22.02.2025
C1514,EU,23.02.2025
C1515,EU,24.02.2025
C1516,NA,25.02.2025
C1517,APAC,26.02.2025
C1518,EU,27.02.2025
C1519,APAC,28.02.2025
C1520,EU,01.03.2025
C1521,APAC,02.03.2025
C1522,EU,03.03.2025
C1523,EU,04.03.2025
C1524,NA,05.03.2025
C1525,EU,06.03.2025
C1526,EU,07.03.2025
C1527,EU,08.03.2025
C1528,APAC,09.03.2025
C1529,NA,10.03.2025
C1530,EU,11.03.2025
C1531,NA,12.03.2025
C1532,NA,13.03.2025
C1533,EU,14.03.2025
C1534,NA,15.03.2025
C1535,EU,16.03.2025
C1536,EU,
C1537,NA,18.03.2025
C1538,EU,19.03.2025
C1539,NA,20.03.2025
C1540,NA,21.03.2025
C1541,EU,22.03.2025
C1542,NA,23.03.2025
C1543,EU,24.03.2025
C1544,APAC,25.03.2025
C1545,NA,26.03.2025
C1546,APAC,27.03.2025
C1547,NA,28.03.2025
C1548,EU,29.03.2025
C1549,NA,30.03.2025
C1550,APAC,31.03.2025
C1551,NA,
C1552,APAC,02.04.2025
C1553,APAC,03.04.2025
C1554,EU,04.04.2025
C1555,EU,05.04.2025
C1556,NA,
C1557,NA,07.04.2025
C1558,APAC,08.04.2025
C1559,APAC,09.04.2025
C1560,EU,10.04.2025
C1561,EU,11.04.2025
C1562,APAC,12.04.2025
C1563,EU,13.04.2025
C1564,APAC,14.04.2025
C1565,NA,15.04.2025
C1566,NA,16.04.2025
C1567,EU,17.04.2025
C1568,NA,18.04.2025
C1569,NA,19.04.2025
C1570,NA,20.04.2025
C1571,EU,21.04.2025
C1572,NA,22.04.2025
C1573,APAC,23.04.2025
C1574,EU,24.04.2025
C1575,EU,25.04.2025
C1576,EU,26.04.2025
C1577,NA,27.04.2025
C1578,NA,28.04.2025
C1579,NA,29.04.2025
C1580,EU,30.04.2025
C1581,EU,01.05.2025
C1582,NA,02.05.2025
C1583,NA,03.05.2025
C1584,APAC,04.05.2025
C1585,EU,05.05.2025
C1586,NA,06.05.2025
C1587,NA,07.05.2025
C1588,NA,08.05.2025
C1589,NA,09.05.2025
C1590,NA,10.05.2025
C1591,APAC,11.05.2025
C1592,EU,12.05.2025
C1593,EU,13.05.2025
C1594,NA,
C1595,NA,15.05.2025
C1596,EU,16.05.2025
C1597,EU,17.05.2025
C1598,EU,18.05.2025
C1599,APAC,19.05.2025
C1600,EU,20.05.2025
C1601,EU,21.05.2025
C1602,EU,22.05.2025
C1603,EU,23.05.2025
C1604,EU,24.05.2025
C1605,NA,25.05.2025
C1606,EU,26.05.2025
C1607,APAC,27.05.2025
C1608,EU,28.05.2025
C1609,NA,29.05.2025
C1610,APAC,30.05.2025
C1611,NA,31.05.2025
C1612,NA,01.06.2025
C1613,EU,
C1614,EU,03.06.2025
C1615,NA,04.06.2025
C1616,APAC,05.06.2025
C1617,NA,06.06.2025
C1618,NA,07.06.2025
C1619,NA,08.06.2025
C1620,NA,
C1621,EU,10.06.2025
C1622,NA,11.06.2025
C1623,APAC,12.06.2025
C1624,EU,13.06.2025
C1625,NA,14.06.2025
C1626,EU,
C1627,NA,16.06.2025
C1628,EU,17.06.2025
C1629,NA,18.06.2025
C1630,APAC,19.06.2025
C1631,EU,20.06.2025
C1632,NA,21.06.2025
C1633,APAC,22.06.2025
C1634,APAC,23.06.2025
C1635,EU,24.06.2025
C1636,EU,25.06.2025
C1637,EU,26.06.2025
C1638,APAC,27.06.2025
C1639,APAC,28.06.2025
C1640,NA,29.06.2025
C1641,APAC,30.06.2025
C1642,NA,01.07.2025
C1643,NA,02.07.2025
C1644,EU,03.07.2025
C1645,APAC,04.07.2025
C1646,EU,05.07.2025
C1647,APAC,06.07.2025
C1648,APAC,07.07.2025
C1649,NA,08.07.2025
C1650,EU,09.07.2025
C1651,EU,10.07.2025
C1652,EU,
C1653,EU,12.07.2025
C1654,EU,13.07.2025
C1655,APAC,14.07.2025
C1656,NA,15.07.2025
C1657,EU,16.07.2025
C1658,EU,17.07.2025
C1659,NA,18.07.2025
C1660,NA,19.07.2025
C1661,NA,20.07.2025
C1662,APAC,21.07.2025
C1663,NA,22.07.2025
C1664,APAC,23.07.2025
C1665,APAC,
C1666,EU,25.07.2025
C1667,APAC,26.07.2025
C1668,EU,27.07.2025
C1669,APAC,28.07.2025
C1670,EU,29.07.2025
C1671,APAC,30.07.2025
C1672,APAC,31.07.2025
C1673,APAC,01.08.2025
C1674,APAC,02.08.2025
C1675,EU,03.08.2025
C1676,EU,04.08.2025
C1677,NA,05.08.2025
C1678,EU,06.08.2025
C1679,NA,07.08.2025
C1680,EU,08.08.2025
C1681,APAC,09.08.2025
C1682,NA,10.08.2025
C1683,APAC,11.08.2025
C1684,EU,12.08.2025
C1685,APAC,13.08.2025
C1686,APAC,14.08.2025
C1687,NA,15.08.2025
C1688,NA,16.08.2025
C1689,APAC,17.08.2025
C1690,EU,18.08.2025
C1691,NA,19.08.2025
C1692,EU,20.08.2025
C1693,EU,21.08.2025
C1694,EU,22.08.2025
C1695,EU,23.08.2025
C1696,EU,24.08.2025
C1697,EU,25.08.2025
C1698,APAC,26.08.2025
C1699,NA,27.08.2025
C1700,APAC,28.08.2025
C1701,NA,29.08.2025
C1702,EU,30.08.2025
C1703,NA,31.08.2025
C1704,NA,01.09.2025
C1705,EU,02.09.2025
C1706,NA,03.09.2025
C1707,EU,04.09.2025
C1708,NA,05.09.2025
C1709,NA,06.09.2025
C1710,EU,07.09.2025
C1711,EU,08.09.2025
C1712,APAC,09.09.2025
C1713,NA,10.09.2025
C1714,EU,11.09.2025
C1715,APAC,12.09.2025
C1716,EU,13.09.2025
C1717,NA,14.09.2025
C1718,APAC,15.09.2025
C1719,EU,16.09.2025
C1720,EU,17.09.2025
C1721,EU,18.09.2025
C1722,EU,19.09.2025
C1723,EU,20.09.2025
C1724,NA,21.09.2025
C1725,EU,22.09.2025
C1726,NA,23.09.2025
C1727,APAC,24.09.2025
C1728,APAC,25.09.2025
C1729,NA,26.09.2025
C1730,EU,27.09.2025
C1731,NA,28.09.2025
C1732,NA,29.09.2025
C1733,NA,30.09.2025
C1734,EU,01.10.2025
C1735,APAC,02.10.2025
C1736,NA,03.10.2025
C1737,EU,04.10.2025
C1738,EU,05.10.2025
C1739,NA,06.10.2025
C1740,APAC,07.10.2025
C1741,NA,08.10.2025
C1742,APAC,09.10.2025
C1743,EU,10.10.2025
C1744,NA,11.10.2025
C1745,NA,12.10.2025
C1746,EU,13.10.2025
C1747,EU,14.10.2025
C1748,APAC,15.10.2025
C1749,EU,
C1750,NA,17.10.2025
C1751,EU,18.10.2025
C1752,EU,19.10.2025
C1753,EU,20.10.2025
C1754,APAC,21.10.2025
C1755,APAC,22.10.2025
C1756,APAC,23.10.2025
C1757,NA,24.10.2025
C1758,EU,25.10.2025
C1759,NA,26.10.2025
C1760,NA,
C1761,APAC,28.10.2025
C1762,EU,29.10.2025
C1763,NA,30.10.2025
C1764,EU,31.10.2025
C1765,EU,01.11.2025
C1766,NA,02.11.2025
C1767,NA,03.11.2025
C1768,EU,04.11.2025
C1769,EU,05.11.2025
C1770,NA,06.11.2025
C1771,APAC,07.11.2025
C1772,APAC,08.11.2025
C1773,APAC,09.11.2025
C1774,APAC,10.11.2025
C1775,EU,11.11.2025
C1776,NA,12.11.2025
C1777,NA,13.11.2025
C1778,EU,14.11.2025
C1779,APAC,15.11.2025
C1780,EU,16.11.2025
C1781,APAC,17.11.2025
C1782,NA,18.11.2025
C1783,NA,19.11.2025
C1784,NA,20.11.2025
C1785,APAC,21.11.2025
C1786,NA,22.11.2025
C1787,NA,23.11.2025
C1788,EU,24.11.2025
C1789,NA,25.11.2025
C1790,EU,26.11.2025
C1791,NA,
C1792,NA,28.11.2025
C1793,NA,29.11.2025
C1794,EU,30.11.2025
C1795,EU,01.12.2025
C1796,NA,02.12.2025
C1797,EU,03.12.2025
C1798,EU,04.12.2025
C1799,EU,05.12.2025
C1800,APAC,06.12.2025
C1801,NA,07.12.2025
C1802,EU,08.12.2025
C1803,EU,09.12.2025
C1804,EU,10.12.2025
C1805,APAC,11.12.2025
C1806,NA,12.12.2025
C1807,EU,13.12.2025
C1808,EU,14.12.2025
C1809,EU,15.12.2025
C1810,NA,16.12.2025
C1811,APAC,
C1812,EU,18.12.2025
C1813,EU,19.12.2025
C1814,EU,20.12.2025
C1815,APAC,21.12.2025
C1816,EU,22.12.2025
C1817,APAC,23.12.2025
C1818,NA,24.12.2025
C1819,EU,25.12.2025
C1820,EU,26.12.2025
C1821,EU,27.12.2025
C1822,NA,28.12.2025
C1823,APAC,29.12.2025
C1824,NA,30.12.2025
C1825,NA,31.12.2025
C1826,EU,01.01.2026
C1827,APAC,02.01.2026
C1828,APAC,03.01.2026
C1829,EU,04.01.2026
C1830,APAC,05.01.2026
C1831,NA,06.01.2026
C1832,NA,07.01.2026
C1833,NA,08.01.2026
C1834,APAC,09.01.2026
C1835,NA,10.01.2026
C1836,EU,11.01.2026
C1837,EU,12.01.2026
C1838,APAC,13.01.2026
C1839,EU,14.01.2026
C1840,EU,
C1841,NA,16.01.2026
C1842,NA,17.01.2026
C1843,NA,18.01.2026
C1844,APAC,19.01.2026
C1845,EU,20.01.2026
C1846,EU,21.01.2026
C1847,EU,22.01.2026
C1848,APAC,23.01.2026
C1849,NA,24.01.2026
C1850,EU,25.01.2026
C1851,APAC,26.01.2026
C1852,APAC,27.01.2026
C1853,APAC,28.01.2026
C1854,APAC,29.01.2026
C1855,EU,30.01.2026
C1856,APAC,31.01.2026
C1857,NA,01.02.2026
C1858,APAC,02.02.2026
C1859,NA,03.02.2026
C1860,APAC,04.02.2026
C1861,NA,05.02.2026
C1862,EU,06.02.2026
C1863,NA,07.02.2026
C1864,APAC,08.02.2026
C1865,APAC,09.02.2026
C1866,EU,10.02.2026
C1867,EU,11.02.2026
C1868,EU,12.02.2026
C1869,NA,13.02.2026
C1870,APAC,14.02.2026
C1871,EU,15.02.2026
C1872,NA,16.02.2026
C1873,APAC,17.02.2026
C1874,NA,18.02.2026
C1875,NA,19.02.2026
C1876,NA,20.02.2026
C1877,NA,21.02.2026
C1878,EU,22.02.2026
C1879,NA,23.02.2026
C1880,NA,24.02.2026
C1881,APAC,25.02.2026
C1882,NA,26.02.2026
C1883,APAC,27.02.2026
C1884,EU,28.02.2026
C1885,NA,01.03.2026
C1886,EU,02.03.2026
C1887,EU,03.03.2026
C1888,NA,04.03.2026
C1889,APAC,05.03.2026
C1890,EU,06.03.2026
C1891,NA,07.03.2026
C1892,APAC,08.03.2026
C1893,EU,09.03.2026
C1894,NA,10.03.2026
C1895,NA,11.03.2026
C1896,NA,12.03.2026
C1897,EU,13.03.2026
C1898,EU,14.03.2026
C1899,APAC,15.03.2026
C1900,NA,16.03.2026
C1901,EU,17.03.2026
C1902,APAC,18.03.2026
C1903,EU,
C1904,NA,20.03.2026
C1905,EU,21.03.2026
C1906,APAC,22.03.2026
C1907,EU,23.03.2026
C1908,EU,24.03.2026
C1909,EU,25.03.2026
C1910,EU,26.03.2026
C1911,APAC,27.03.2026
C1912,APAC,28.03.2026
C1913,EU,29.03.2026
C1914,NA,30.03.2026
C1915,NA,31.03.2026
C1916,APAC,01.04.2026
C1917,NA,02.04.2026
C1918,EU,03.04.2026
C1919,NA,
C1920,NA,05.04.2026
C1921,EU,06.04.2026
C1922,NA,07.04.2026
C1923,EU,08.04.2026
C1924,APAC,09.04.2026
C1925,EU,10.04.2026
C1926,NA,11.04.2026
C1927,NA,12.04.2026
C1928,NA,13.04.2026
C1929,EU,14.04.2026
C1930,NA,15.04.2026
C1931,NA,16.04.2026
C1932,NA,17.04.2026
C1933,NA,18.04.2026
C1934,NA,19.04.2026
C1935,APAC,20.04.2026
C1936,EU,21.04.2026
C1937,APAC,22.04.2026
C1938,NA,23.04.2026
C1939,EU,24.04.2026
C1940,EU,25.04.2026
C1941,EU,26.04.2026
C1942,APAC,27.04.2026
C1943,NA,28.04.2026
C1944,APAC,29.04.2026
C1945,NA,30.04.2026
C1946,NA,01.05.2026
C1947,EU,02.05.2026
C1948,EU,03.05.2026
C1949,NA,
C1950,EU,05.05.2026
C1951,EU,06.05.2026
C1952,NA,07.05.2026
C1953,NA,08.05.2026
C1954,APAC,09.05.2026
C1955,APAC,10.05.2026
C1956,NA,11.05.2026
C1957,NA,12.05.2026
C1958,NA,13.05.2026
C1959,APAC,14.05.2026
C1960,EU,
C1961,NA,16.05.2026
C1962,APAC,17.05.2026
C1963,EU,
C1964,NA,19.05.2026
C1965,NA,20.05.2026
C1966,EU,21.05.2026
C1967,EU,22.05.2026
C1968,EU,23.05.2026
C1969,EU,24.05.2026
C1970,EU,25.05.2026
C1971,APAC,26.05.2026
C1972,EU,27.05.2026
C1973,NA,28.05.2026
C1974,EU,29.05.2026
C1975,APAC,30.05.2026
C1976,EU,31.05.2026
C1977,NA,01.06.2026
C1978,APAC,02.06.2026
C1979,APAC,03.06.2026
C1980,EU,04.06.2026
C1981,APAC,05.06.2026
C1982,NA,06.06.2026
C1983,NA,07.06.2026
C1984,EU,08.06.2026
C1985,EU,09.06.2026
C1986,NA,10.06.2026
C1987,NA,11.06.2026
C1988,NA,12.06.2026
C1989,NA,13.06.2026
C1990,APAC,14.06.2026
C1991,EU,15.06.2026
C1992,NA,16.06.2026
C1993,EU,17.06.2026
